time,motor1,motor2,motor3,motor4
0.0116,0,0,0,0
0.0232,0,0,0,0
0.0348,0,0,0,0
0.0464,0,0,0,0
0.0580,0,0,0,0
0.0697,0,0,0,0
0.0813,0,0,0,0
0.0929,0,0,0,0
0.1045,0,0,0,0
0.1161,0,0,0,0
0.1277,0,0,0,0
0.1393,0,0,0,0
0.1509,0,0,0,0
0.1625,0,0,0,0
0.1741,0,0,0,0
0.1858,0,0,0,0
0.1974,0,0,0,0
0.2090,0,0,0,0
0.2206,0,0,0,0
0.2322,0,0,0,0
0.2438,0,0,0,0
0.2554,0,0,0,0
0.2670,0,0,0,0
0.2786,0,0,0,0
0.2902,0,0,0,0
0.3019,0,0,0,0
0.3135,0,0,0,0
0.3251,0,0,0,0
0.3367,0,0,0,0
0.3483,0,0,0,0
0.3599,0,0,0,0
0.3715,0,0,0,0
0.3831,0,0,0,0
0.3947,0,0,0,0
0.4063,0,0,0,0
0.4180,0,0,0,0
0.4296,0,0,0,0
0.4412,0,0,0,0
0.4528,0,0,0,0
0.4644,0,0,0,0
0.4760,0,0,0,0
0.4876,0,0,0,0
0.4992,0,0,0,0
0.5108,0,0,0,0
0.5224,0,0,0,0
0.5341,0,0,0,0
0.5457,0,0,0,0
0.5573,0,0,0,0
0.5689,0,0,0,0
0.5805,0,0,0,0
0.5921,0,0,0,0
0.6037,0,0,0,0
0.6153,0,0,0,0
0.6269,0,0,0,0
0.6385,0,0,0,0
0.6502,0,0,0,0
0.6618,0,0,0,0
0.6734,0,0,0,0
0.6850,0,0,0,0
0.6966,0,0,0,0
0.7082,0,0,0,0
0.7198,0,0,0,0
0.7314,0,0,0,0
0.7430,0,0,0,0
0.7546,0,0,0,0
0.7663,0,0,0,0
0.7779,0,0,0,0
0.7895,0,0,0,0
0.8011,0,0,0,0
0.8127,0,0,0,0
0.8243,0,0,0,0
0.8359,0,0,0,0
0.8475,0,0,0,0
0.8591,0,0,0,0
0.8707,0,0,0,0
0.8824,0,0,0,0
0.8940,0,0,0,0
0.9056,0,0,0,0
0.9172,8,0,0,0
0.9288,36,5,0,0
0.9404,38,11,0,0
0.9520,74,12,0,1
0.9636,127,19,0,2
0.9752,130,31,0,2
0.9868,146,40,0,5
0.9985,179,45,0,6
1.0101,186,50,0,6
1.0217,161,53,0,7
1.0333,152,55,0,6
1.0449,150,55,0,4
1.0565,135,50,0,3
1.0681,113,45,0,3
1.0797,102,44,0,3
1.0913,101,46,0,3
1.1029,103,49,0,3
1.1146,99,50,0,3
1.1262,92,50,0,3
1.1378,82,45,0,3
1.1494,69,39,0,3
1.1610,61,33,0,3
1.1726,59,28,0,3
1.1842,53,25,0,4
1.1958,40,23,0,2
1.2074,23,17,0,0
1.2190,8,8,0,0
1.2307,3,2,0,0
1.2423,0,1,0,0
1.2539,1,0,0,0
1.2655,1,0,0,0
1.2771,1,0,0,0
1.2887,0,0,0,0
1.3003,0,0,0,0
1.3119,0,0,0,0
1.3235,0,0,0,0
1.3351,0,0,0,0
1.3468,0,0,0,0
1.3584,0,0,0,0
1.3700,0,0,0,0
1.3816,0,0,0,0
1.3932,0,0,0,0
1.4048,0,0,0,0
1.4164,0,0,0,0
1.4280,0,0,0,0
1.4396,0,0,0,0
1.4512,0,0,0,0
1.4629,0,0,0,0
1.4745,0,0,0,0
1.4861,0,0,0,0
1.4977,0,0,0,0
1.5093,0,0,0,0
1.5209,0,0,0,0
1.5325,0,0,0,0
1.5441,0,0,0,0
1.5557,0,0,0,0
1.5673,0,0,0,0
1.5790,0,0,0,0
1.5906,0,0,0,0
1.6022,0,0,0,0
1.6138,0,0,0,0
1.6254,0,0,0,0
1.6370,6,0,1,0
1.6486,28,11,40,7
1.6602,46,28,84,20
1.6718,56,34,128,44
1.6834,71,35,199,77
1.6951,80,34,232,97
1.7067,85,30,217,59
1.7183,94,28,194,24
1.7299,85,29,140,28
1.7415,70,28,116,41
1.7531,79,21,97,41
1.7647,86,18,80,40
1.7763,46,17,72,31
1.7879,42,14,53,22
1.7995,69,10,36,15
1.8112,47,8,38,19
1.8228,38,7,37,14
1.8344,23,6,31,16
1.8460,31,4,26,12
1.8576,24,2,13,4
1.8692,13,1,6,2
1.8808,4,0,2,2
1.8924,0,0,0,0
1.9040,3,0,0,0
1.9156,1,0,0,0
1.9273,0,0,0,0
1.9389,0,0,0,0
1.9505,0,0,0,0
1.9621,0,0,0,0
1.9737,0,0,0,0
1.9853,0,0,0,0
1.9969,0,0,0,0
2.0085,0,0,0,0
2.0201,0,0,0,0
2.0317,0,0,0,0
2.0434,0,0,0,0
2.0550,0,0,0,0
2.0666,0,0,0,0
2.0782,0,0,0,0
2.0898,0,0,0,0
2.1014,0,0,0,0
2.1130,0,0,0,0
2.1246,0,0,0,0
2.1362,0,0,0,0
2.1478,0,0,0,0
2.1595,0,0,0,0
2.1711,0,0,0,0
2.1827,0,0,0,0
2.1943,0,0,0,0
2.2059,0,0,0,0
2.2175,0,0,0,0
2.2291,0,0,0,0
2.2407,0,0,0,1
2.2523,0,0,0,3
2.2639,0,0,0,2
2.2756,0,0,0,1
2.2872,0,0,0,0
2.2988,0,0,0,1
2.3104,0,0,0,0
2.3220,0,0,0,0
2.3336,39,17,6,7
2.3452,80,43,49,22
2.3568,74,33,138,25
2.3684,77,33,157,29
2.3800,82,33,104,49
2.3917,90,31,67,80
2.4033,101,31,58,77
2.4149,124,32,45,49
2.4265,128,31,31,29
2.4381,122,31,24,17
2.4497,120,31,13,10
2.4613,111,31,6,8
2.4729,96,27,4,4
2.4845,82,24,3,3
2.4961,66,20,1,1
2.5078,52,16,0,0
2.5194,42,14,0,0
2.5310,31,15,0,0
2.5426,17,16,0,0
2.5542,7,10,0,0
2.5658,5,4,0,0
2.5774,8,2,0,0
2.5890,6,1,0,0
2.6006,5,0,0,0
2.6122,2,0,0,0
2.6239,1,0,0,0
2.6355,0,0,0,0
2.6471,0,0,0,0
2.6587,0,0,0,0
2.6703,0,0,0,0
2.6819,0,0,0,0
2.6935,0,0,0,0
2.7051,0,0,0,0
2.7167,0,0,0,0
2.7283,0,0,0,0
2.7400,0,0,0,0
2.7516,0,0,0,0
2.7632,0,0,0,0
2.7748,0,0,0,0
2.7864,0,0,0,0
2.7980,0,0,0,0
2.8096,0,0,0,0
2.8212,0,0,0,0
2.8328,0,0,0,0
2.8444,0,0,0,0
2.8561,0,0,0,0
2.8677,0,0,0,0
2.8793,0,0,0,1
2.8909,0,0,0,1
2.9025,0,0,0,1
2.9141,0,0,0,1
2.9257,0,0,0,1
2.9373,0,0,0,1
2.9489,0,0,0,1
2.9605,0,0,0,2
2.9722,0,0,0,2
2.9838,0,0,0,2
2.9954,0,0,0,2
3.0070,0,0,0,0
3.0186,33,2,0,0
3.0302,75,45,0,0
3.0418,78,110,0,0
3.0534,69,163,0,0
3.0650,83,149,0,0
3.0766,80,112,1,0
3.0883,69,97,1,0
3.0999,64,59,1,0
3.1115,57,37,0,0
3.1231,53,44,0,0
3.1347,83,39,0,0
3.1463,71,51,0,0
3.1579,51,29,0,0
3.1695,33,17,0,0
3.1811,29,5,0,0
3.1927,16,5,0,0
3.2044,6,0,0,0
3.2160,0,0,0,0
3.2276,1,0,0,0
3.2392,5,0,0,0
3.2508,4,0,0,0
3.2624,1,0,0,0
3.2740,0,0,0,0
3.2856,0,0,0,0
3.2972,0,0,0,0
3.3088,0,0,0,0
3.3205,0,0,0,0
3.3321,0,0,0,0
3.3437,0,0,0,0
3.3553,0,0,0,0
3.3669,0,0,0,0
3.3785,0,0,0,0
3.3901,0,0,0,0
3.4017,0,0,0,0
3.4133,0,0,0,0
3.4249,0,0,0,0
3.4366,0,0,0,0
3.4482,0,0,0,0
3.4598,0,0,0,0
3.4714,0,0,0,0
3.4830,0,0,0,0
3.4946,0,0,0,0
3.5062,0,0,0,0
3.5178,0,0,0,0
3.5294,0,0,0,0
3.5410,0,0,0,0
3.5527,0,0,0,0
3.5643,0,0,0,0
3.5759,0,0,0,0
3.5875,0,0,0,0
3.5991,0,0,0,0
3.6107,0,0,0,0
3.6223,0,0,0,0
3.6339,0,0,0,0
3.6455,0,0,0,0
3.6571,0,0,0,0
3.6688,0,0,0,0
3.6804,0,0,0,0
3.6920,0,0,0,0
3.7036,8,0,0,0
3.7152,25,9,0,0
3.7268,44,14,0,0
3.7384,50,21,0,0
3.7500,48,15,0,0
3.7616,54,19,0,0
3.7732,42,19,0,0
3.7849,51,17,0,0
3.7965,33,15,0,0
3.8081,39,16,0,0
3.8197,32,13,0,0
3.8313,38,14,0,0
3.8429,32,12,0,0
3.8545,27,15,0,0
3.8661,19,29,1,0
3.8777,21,45,1,0
3.8893,18,32,0,0
3.9010,19,21,0,0
3.9126,18,16,0,0
3.9242,14,6,0,0
3.9358,8,2,0,0
3.9474,8,1,0,0
3.9590,4,1,0,0
3.9706,0,0,0,0
3.9822,0,0,0,0
3.9938,0,0,0,0
4.0054,0,0,0,0
4.0171,0,0,0,0
4.0287,0,0,0,0
4.0403,0,0,0,0
4.0519,0,0,0,0
4.0635,0,0,0,0
4.0751,0,0,0,0
4.0867,0,0,0,0
4.0983,0,0,0,0
4.1099,0,0,0,0
4.1215,0,0,0,0
4.1332,0,0,0,0
4.1448,0,0,0,0
4.1564,0,0,0,0
4.1680,0,0,0,0
4.1796,0,0,0,0
4.1912,0,0,0,0
4.2028,0,0,0,0
4.2144,0,0,0,0
4.2260,0,0,0,0
4.2376,0,0,0,0
4.2493,0,0,0,0
4.2609,0,0,0,0
4.2725,0,0,0,0
4.2841,0,0,0,0
4.2957,0,0,0,0
4.3073,0,0,0,0
4.3189,0,0,0,0
4.3305,29,2,0,0
4.3421,94,35,0,0
4.3537,132,87,0,2
4.3654,160,189,1,6
4.3770,147,243,2,11
4.3886,181,204,2,13
4.4002,212,229,3,17
4.4118,237,228,4,24
4.4234,255,200,6,26
4.4350,236,175,6,28
4.4466,190,140,9,34
4.4582,147,109,16,31
4.4698,126,83,19,25
4.4815,125,70,24,7
4.4931,139,59,24,4
4.5047,85,39,13,1
4.5163,61,48,9,0
4.5279,81,30,5,0
4.5395,49,32,4,0
4.5511,25,25,5,0
4.5627,32,23,5,0
4.5743,15,15,1,0
4.5859,6,6,1,0
4.5976,1,2,0,0
4.6092,6,3,0,0
4.6208,5,4,0,0
4.6324,6,0,0,0
4.6440,5,0,0,0
4.6556,0,0,0,0
4.6672,0,0,0,0
4.6788,0,0,0,0
4.6904,0,0,0,0
4.7020,0,0,0,0
4.7137,0,0,0,0
4.7253,0,0,0,0
4.7369,0,0,0,0
4.7485,0,0,0,0
4.7601,0,0,0,0
4.7717,0,0,0,0
4.7833,0,0,0,0
4.7949,0,0,0,0
4.8065,0,0,0,0
4.8181,0,0,0,0
4.8298,0,0,0,0
4.8414,0,0,0,0
4.8530,0,0,0,0
4.8646,0,0,0,0
4.8762,0,0,0,0
4.8878,0,0,0,0
4.8994,0,0,0,0
4.9110,0,0,0,0
4.9226,0,0,0,0
4.9342,0,0,0,0
4.9459,0,0,0,0
4.9575,0,0,0,0
4.9691,0,0,0,0
4.9807,0,0,0,0
4.9923,0,0,0,0
5.0039,0,0,0,1
5.0155,0,0,0,1
5.0271,0,0,0,1
5.0387,0,0,0,2
5.0503,0,0,0,2
5.0620,0,0,0,1
5.0736,0,0,0,0
5.0852,0,0,0,0
5.0968,4,0,0,0
5.1084,104,50,0,1
5.1200,166,202,0,4
5.1316,169,254,0,5
5.1432,155,255,0,4
5.1548,160,229,0,4
5.1664,144,209,1,6
5.1780,142,191,0,5
5.1897,116,168,0,4
5.2013,79,167,0,4
5.2129,66,164,0,4
5.2245,65,132,0,3
5.2361,56,102,0,3
5.2477,36,82,0,1
5.2593,24,58,0,0
5.2709,18,36,0,0
5.2825,11,23,0,0
5.2941,12,11,0,0
5.3058,13,9,0,0
5.3174,6,3,0,0
5.3290,1,3,0,0
5.3406,1,2,0,0
5.3522,1,1,0,0
5.3638,0,1,0,0
5.3754,0,0,0,0
5.3870,0,0,0,0
5.3986,0,0,0,0
5.4102,0,0,0,0
5.4219,0,0,0,0
5.4335,0,0,0,0
5.4451,0,0,0,0
5.4567,0,0,0,0
5.4683,0,0,0,0
5.4799,0,0,0,0
5.4915,0,0,0,0
5.5031,0,0,0,0
5.5147,0,0,0,0
5.5263,0,0,0,0
5.5380,0,0,0,0
5.5496,0,0,0,0
5.5612,0,0,0,0
5.5728,0,0,0,0
5.5844,0,0,0,0
5.5960,0,0,0,0
5.6076,0,0,0,0
5.6192,0,0,0,0
5.6308,0,0,0,0
5.6424,0,0,0,0
5.6541,0,0,0,0
5.6657,0,0,0,0
5.6773,0,0,0,0
5.6889,0,0,0,0
5.7005,0,0,0,0
5.7121,0,0,0,0
5.7237,19,3,4,0
5.7353,53,19,89,26
5.7469,66,26,179,54
5.7585,71,28,212,93
5.7702,86,24,194,93
5.7818,83,24,199,94
5.7934,74,26,255,150
5.8050,64,21,221,255
5.8166,69,22,207,189
5.8282,68,22,172,188
5.8398,77,22,174,172
5.8514,74,11,160,178
5.8630,65,10,134,164
5.8746,55,7,128,147
5.8863,48,7,107,86
5.8979,38,5,72,52
5.9095,28,5,40,40
5.9211,14,4,16,18
5.9327,7,2,5,4
5.9443,4,0,2,1
5.9559,3,0,1,0
5.9675,3,0,0,0
5.9791,1,0,0,0
5.9907,1,0,0,0
6.0024,0,0,0,0
6.0140,0,0,0,0
6.0256,0,0,0,0
6.0372,0,0,0,0
6.0488,0,0,0,0
6.0604,0,0,0,0
6.0720,0,0,0,0
6.0836,0,0,0,0
6.0952,0,0,0,0
6.1068,0,0,0,0
6.1185,0,0,0,0
6.1301,0,0,0,0
6.1417,0,0,0,0
6.1533,0,0,0,0
6.1649,0,0,0,0
6.1765,0,0,0,0
6.1881,0,0,0,0
6.1997,0,0,0,0
6.2113,0,0,0,0
6.2229,0,0,0,0
6.2346,0,0,0,0
6.2462,0,0,0,0
6.2578,0,0,0,0
6.2694,0,0,0,0
6.2810,0,0,0,0
6.2926,0,0,0,0
6.3042,0,0,0,0
6.3158,0,0,0,0
6.3274,0,0,0,0
6.3390,0,0,0,0
6.3507,0,0,0,0
6.3623,0,0,0,0
6.3739,0,0,0,3
6.3855,0,0,0,10
6.3971,0,0,0,6
6.4087,0,0,0,3
6.4203,11,0,0,1
6.4319,53,26,0,0
6.4435,106,39,0,0
6.4551,84,87,0,0
6.4668,98,65,0,0
6.4784,58,33,0,1
6.4900,40,14,1,0
6.5016,21,20,1,0
6.5132,16,15,1,0
6.5248,17,15,1,0
6.5364,8,14,1,0
6.5480,6,10,0,0
6.5596,4,7,0,0
6.5712,3,5,0,0
6.5829,0,2,0,0
6.5945,3,1,0,0
6.6061,0,1,0,0
6.6177,0,0,0,0
6.6293,0,0,0,0
6.6409,0,0,0,0
6.6525,0,0,0,0
6.6641,0,0,0,0
6.6757,0,0,0,0
6.6873,0,0,0,0
6.6990,0,0,0,0
6.7106,0,0,0,0
6.7222,0,0,0,0
6.7338,0,0,0,0
6.7454,0,0,0,0
6.7570,0,0,0,0
6.7686,0,0,0,0
6.7802,0,0,0,0
6.7918,0,0,0,0
6.8034,0,0,0,0
6.8151,0,0,0,0
6.8267,0,0,0,0
6.8383,0,0,0,0
6.8499,0,0,0,0
6.8615,0,0,0,0
6.8731,0,0,0,0
6.8847,0,0,0,0
6.8963,0,0,0,0
6.9079,0,0,0,0
6.9195,0,0,0,0
6.9312,0,0,0,1
6.9428,0,0,0,1
6.9544,0,0,0,2
6.9660,0,0,0,2
6.9776,0,0,0,1
6.9892,0,0,0,2
7.0008,0,0,0,2
7.0124,0,0,0,1
7.0240,0,0,0,1
7.0356,0,0,0,1
7.0473,0,0,0,0
7.0589,5,1,0,0
7.0705,18,9,0,0
7.0821,35,21,0,0
7.0937,33,24,0,0
7.1053,42,30,0,0
7.1169,33,33,0,0
7.1285,47,35,0,0
7.1401,37,41,0,0
7.1517,59,40,0,1
7.1634,50,40,0,1
7.1750,41,44,0,1
7.1866,26,23,0,1
7.1982,14,12,0,0
7.2098,4,4,0,0
7.2214,0,0,0,0
7.2330,0,0,0,0
7.2446,0,0,0,0
7.2562,0,0,0,0
7.2678,0,0,0,0
7.2795,0,0,0,0
7.2911,0,0,0,0
7.3027,0,0,0,0
7.3143,0,0,0,0
7.3259,0,0,0,0
7.3375,0,0,0,0
7.3491,0,0,0,0
7.3607,0,0,0,0
7.3723,0,0,0,0
7.3839,0,0,0,0
7.3956,0,0,0,0
7.4072,0,0,0,0
7.4188,0,0,0,0
7.4304,0,0,0,0
7.4420,0,0,0,0
7.4536,0,0,0,0
7.4652,0,0,0,0
7.4768,0,0,0,0
7.4884,0,0,0,0
7.5000,0,0,0,0
7.5117,0,0,0,0
7.5233,0,0,0,0
7.5349,0,0,0,0
7.5465,0,0,0,0
7.5581,0,0,0,0
7.5697,0,0,0,0
7.5813,0,0,0,0
7.5929,0,0,0,0
7.6045,0,0,0,0
7.6161,0,0,0,0
7.6278,0,0,0,0
7.6394,0,0,0,0
7.6510,0,0,0,0
7.6626,0,0,0,0
7.6742,0,0,0,0
7.6858,0,0,0,0
7.6974,0,0,0,0
7.7090,0,0,0,0
7.7206,0,0,0,0
7.7322,0,0,0,0
7.7439,0,0,0,0
7.7555,0,0,0,0
7.7671,0,0,0,0
7.7787,0,0,0,0
7.7903,0,0,0,0
7.8019,0,0,0,0
